QNUM,CLUS,SELEC,TRLHD,SEASON,PRTYREP,ORIGIN,WEIGHT,TRAVEL,NUMHORS,HORSFED,HRSHNDL,FISH,HUNT,HIKE,NATUR,MTNCLM,RAFT,SWIM,PHOTO,OTHACT,NUMACT,GRIZOBS,BEAROBS,SUMBEAR,ELKOBS,DEEROBS,GOATOBS,MOOSOBS,SHPOBS,OTHROBS,NUMWOBS,SHOT1,SHOT2,SHOT3,STAY,FIRE,OUTFTR,MAPS,TYPMAP,SOLE,VISIT,AGEFST,PARENT,NEWAREA,EXPBOB,NUMBOB,AQUAL,DIFF,LOCCHO,WHOCHO,TIMCHO,TRLINF1,TRLINF2,TRLINF3,RESTRL1,RESTRL2,RESTRL,OTHRTRL,RESREJ1,RESREJ2,FSINFO,FSCONT,QUALINF,NUMVIS,NUMDAYS,SCENRY,FSHIMP,HUNTIMP,RELAX,EXERCZ,ESCAPE,DEVSKL,SOLTUD,CHALNG,AVDMEC,OTHRES,SATIS,HIPT1,HIPT2,HIPT3,LOPT1,LOPT2,LOPT3,SOLSTD,CAMPSOL,ESTCAMP,REJCOND,RESCOND,REJLOC,RESLOC,CMPSRCH,PROBCMP,TYPCMP,CROWD,NUMSEEN,LRGSEEN,HRSSEEN,NUMCMP,VISWLD,WCHWLD,HOWFAR,OFFTRL,LOOP,CRDPROB,CRDSPOT,WEAR,LITTER,WRONG,HITRHL,LOTRAIL,TRLLESS,TREES,SMLBRG,BIGBRG,PRIVY,FRPLC,FRRING,NATFIRE,CORRAL,NOHORSE,NOFIRE,TABLE,RATION,NOGRAZ,REQREG,NATFSH,SZLIMT,FT200,RMVRNG,EXSIGN,BURY,PWRSAW,GUIDBK,ACCMAP,ASSIGN,DNWOOD,FSHEAT,PAKOUT,WLDRNG,METRNG,COMENT,WLDIMP,BESTWLD,BESTREC,AGAIN,SIZE,LITBOY,LITGIRL,BOYS,GIRLS,FELLAS,GALS,MEN,WOMEN,TYPGRP,CLUB,TYPCLUB,NUMCLUB,CURRES,CHLRES,EDUC,STUDNT,OCCUP,FINCMT,MGTCMT,CMPCOD,CMPLIT,HMANUR,BAREGND,CMPREM,FWOODSC,TREEDGD,GRAZSCR,CMPOTHR,CMPLOCN,PORLOCN,WATLOCN,OCCLOCN,TRLLOCN,OTHLOCN
1,1,1,15,1,1,599,100,1,,,,1,1,2,2,2,1,1,1,1,3,1,1,1,2,2,1,1,1,1,2,1,1,1,3,2,1,2,3,1,2,5,2,3,2,4,2,,1,,4,1,0,0,2,7,0,2,1,0,1,,,8,30,1,2,3,3,2,1,1,1,1,1,9,1,5,6,0,69,0,0,0,1,3,2,3,1,,1,1,2,3,2,0,0,2,2,1,30,0,1,1,,3,1,10,4,3,3,2,1,3,4,1,2,3,1,3,4,1,4,3,1,2,2,4,3,1,1,4,1,2,4,3,3,3,2,1,46,1,1,1,7,1,0,0,0,0,1,0,0,0,,2,1,3,2,3,14,1,30,2,148,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1
5,2,1,4,1,1,601,100,3,99,9,9,1,1,2,2,1,1,1,2,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,3,3,1,2,2,2,2,24,3,3,1,,,,2,3,,,,,,,,,,,1,,,2,11,1,2,3,1,1,1,1,1,1,1,9,1,1,0,0,21,0,0,0,1,2,1,,1,,1,1,2,3,0,0,0,99,1,2,13,0,2,1,,9,2,0,3,9,9,1,3,3,2,2,2,9,2,3,3,1,3,4,3,2,3,3,3,3,1,3,3,3,1,3,2,3,4,1,0,1,4,4,6,4,0,0,2,0,0,0,1,1,2,2,2,1,4,5,16,1,10,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,2,1,4,1,1,596,100,1,,,,1,1,2,2,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,3,1,1,1,6,1,1,2,1,1,2,16,1,3,2,1,2,,1,,3,3,0,0,5,0,0,2,15,0,1,,,8,18,1,3,3,1,2,1,2,2,2,2,9,2,1,5,14,25,0,0,0,2,4,2,1,2,3,2,2,3,4,8,3,5,6,2,2,99,99,9,2,23,3,5,28,1,3,3,1,3,3,1,1,1,3,1,3,1,1,3,3,3,3,3,1,3,1,1,3,3,3,1,4,3,3,2,1,0,1,4,4,4,2,0,0,0,0,1,1,0,0,3,1,,,4,9,16,1,10,,47,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1
7,2,1,4,1,1,598,100,5,8,4,2,2,1,2,1,1,1,1,2,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,2,2,1,2,35,1,1,1,,,,2,,5,3,4,7,1,5,6,2,3,0,2,2,1,3,12,1,1,3,1,2,1,2,1,2,2,9,1,4,21,10,65,0,0,0,1,3,2,8,2,5,2,1,3,3,0,0,0,99,9,2,99,99,9,1,,3,3,0,4,3,3,1,2,1,1,1,4,3,1,3,4,1,3,1,1,1,3,1,3,4,1,3,3,3,1,1,3,3,3,1,5,1,4,4,5,4,0,0,0,0,2,2,0,0,2,1,,,1,2,17,1,20,,,2,1,1,2,1,1,1,2,1,2,1,1,1,1,2
8,2,1,4,1,1,598,100,4,4,1,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,0,5,1,2,1,1,2,29,1,3,2,25,2,9,1,,4,1,3,0,1,4,6,1,,,1,,,4,15,1,3,1,1,3,1,3,2,1,1,9,3,27,0,0,22,0,0,0,,,,,,,,,,3,2,0,1,0,2,2,20,0,1,1,,3,2,25,4,3,1,1,2,3,1,1,1,3,4,1,1,1,3,4,2,2,1,4,3,3,1,3,4,3,1,3,1,3,3,1,0,1,4,3,7,4,0,0,0,0,2,2,0,0,1,1,,,4,1,12,1,51,,10,,,,,,,,,,,,,,,
9,2,1,4,1,1,598,100,1,,,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,4,3,1,2,9,1,2,99,3,1,2,99,3,3,1,,3,1,3,0,7,0,0,1,,,1,,,4,25,1,2,3,1,2,1,2,1,3,1,9,2,57,0,0,22,4,31,0,1,2,2,8,1,,2,1,2,4,6,4,4,2,2,2,33,0,1,2,24,4,2,0,4,2,3,2,4,3,1,1,1,3,9,3,9,1,4,3,2,9,3,9,3,1,1,1,1,3,1,3,3,3,3,1,0,1,2,2,5,2,0,0,0,0,1,1,0,0,1,2,9,9,5,6,17,1,10,,,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1
12,4,2,38,1,1,597,100,4,2,4,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,9,1,1,,1,2,2,2,2,1,,,,2,2,,,,,,,,,,,1,,,10,2,1,2,9,1,1,1,1,1,1,3,9,1,0,0,0,0,0,0,99,9,9,9,9,9,9,9,9,9,4,999,999,999,99,2,1,22,6,1,1,,3,3,0,4,2,3,2,2,3,4,4,4,2,4,4,3,1,3,2,3,2,3,2,3,1,1,1,1,1,1,3,2,3,3,1,3,1,4,3,5,4,99,99,99,99,99,99,99,99,2,1,,,4,5,16,1,99,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,4,2,38,1,1,976,100,2,,,,2,1,2,1,1,2,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,0,2,1,2,1,1,2,99,2,1,2,2,3,3,2,2,,,,,,,,,,,1,,,5,7,1,1,2,2,2,1,3,2,3,1,9,3,10,0,0,1,0,0,0,,,,,,,,,,5,999,2,2,0,1,1,11,0,1,2,20,4,1,10,2,3,3,1,1,3,1,1,2,1,1,3,3,1,3,3,2,1,3,3,3,1,1,3,3,3,1,3,3,3,3,1,0,1,2,1,3,4,0,0,0,1,2,1,0,0,1,1,,,4,5,17,1,10,1,,,,,,,,,,,,,,,,
15,4,2,38,1,1,594,100,4,4,3,6,2,1,2,1,1,2,2,2,1,5,1,1,1,1,2,1,1,1,1,1,1,1,1,7,1,1,1,,2,2,99,2,3,2,99,1,,1,,4,1,4,0,2,4,6,1,,,1,,,10,60,1,1,1,1,2,1,2,3,2,1,3,1,0,0,0,64,0,0,0,1,2,2,8,2,5,2,1,3,3,8,2,2,3,2,1,32,0,1,1,,3,3,0,3,4,4,1,2,4,3,1,1,1,1,1,1,1,3,1,4,9,2,4,4,4,1,1,1,3,1,1,1,4,3,1,0,1,4,4,7,4,0,0,1,0,3,0,0,0,3,1,,,4,4,9,2,80,,,2,2,1,1,2,2,1,2,1,2,2,2,2,1,1
17,4,2,38,1,1,630,100,4,16,4,6,2,1,1,2,1,1,1,2,1,4,1,1,2,2,2,2,1,2,1,5,1,1,1,5,3,2,2,9,1,2,35,1,3,2,3,2,,1,,5,12,0,0,6,0,0,1,,,1,,,1,5,1,1,1,1,2,2,3,2,2,2,9,1,10,4,5,0,0,0,99,1,2,1,,1,,1,1,2,6,2,0,1,2,2,1,45,0,1,1,,1,1,0,2,3,3,1,3,3,2,1,1,1,1,1,1,1,3,1,3,1,1,2,3,1,1,3,3,3,1,3,3,3,3,2,47,1,7,7,7,8,2,2,1,1,1,1,0,0,1,1,,,3,3,17,1,10,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
